"category","product_name","brand","price","stock","origin","general_description","shipping_infor","guarantee_details","image_url","Matierial","Style"
"Gọng kính","Agog Hexgonal Nam – Gọng kính Titan – Mã 9516TiSDKK-C3","Agog","1.820.000VND","199","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Titan","Oval"
"Gọng kính","Agog Hexgonal Unisex – Gọng kính Titan – Mã 9516TiSDKK-C4","Agog","1.820.000VND","185","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-9516TiSDKK-C4-chinh-hang-100-3.jpg","Titan","Oval"
"Gọng kính","Agog Nam – Gọng kính Kim loại – Mã 2207TiSTJK-C1","Agog","1.060.000VND","171","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-25203myyk-c2-1.jpg","Kim loại","Oval"
"Gọng kính","Agog Nam – Gọng kính Kim loại – Mã 2207TiSTJK-C4","Agog","1.060.000VND","173","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-25203myyk-c1-1.jpg","Kim loại","Oval"
"Gọng kính","Agog Nam – Gọng kính Kim loại – Mã 25203MYYK-C1","Agog","2.270.000VND","181","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-2207tistjk-c4.jpg","Kim loại","Oval"
"Gọng kính","Agog Nam – Gọng kính Kim loại – Mã 25203MYYK-C2","Agog","2.270.000VND","128","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-2207tistjk-c1.jpg","Kim loại","Oval"
"Gọng kính","Agog Nam – Gọng kính Nhựa, Titan – Mã 0509-C2","Agog","2.830.000VND","184","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Nhựa, Titan – Mã 0509-C3","Agog","2.830.000VND","195","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-7509-c3-1.jpg","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Nhựa, Titan – Mã 7509-C3","Agog","2.830.000VND","133","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-8509-C2-1.jpg","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Nhựa, Titan – Mã 8509-C2","Agog","2.830.000VND","193","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-0509-c2-1.jpg","Titan","Oval"
